iter	Logloss	Accuracy	Precision	Recall	F1	MCC
0	0.6876448465	0.8086251593	0.6879194631	0.08952942461	0.1584387982	0.199079017
1	0.6822501515	0.8093940859	0.7379310345	0.08177748663	0.1472380578	0.2021782458
2	0.6769201457	0.8102069511	0.7941176471	0.07664592204	0.1397988649	0.208126919
3	0.6718978621	0.810997847	0.8068432671	0.07981220657	0.1452558371	0.2152762203
4	0.6670195834	0.8092403005	0.7989949749	0.06943989519	0.1277749874	0.1989248037
5	0.6621966836	0.8086031899	0.8206599713	0.06245223278	0.1160714286	0.192677079
6	0.6575842611	0.8068017048	0.8141135972	0.05164319249	0.09712525667	0.173830646
7	0.6531030694	0.8060767169	0.8971291866	0.04094333443	0.07831262399	0.1671119187
8	0.6488758936	0.8050002197	0.891966759	0.03515667649	0.06764705882	0.1540511397
9	0.6446836584	0.8042312931	0.9025974026	0.03035265859	0.0587303264	0.1443992196
10	0.6402801025	0.8057691463	0.9251336898	0.0377770499	0.0725899507	0.1643529441
11	0.6357297088	0.8060547476	0.9436997319	0.03843214325	0.07385648342	0.1683406744
12	0.6317283136	0.8059668702	0.9430894309	0.03799541435	0.07304785894	0.1672905718
13	0.627690559	0.8058570236	0.9497206704	0.03712195655	0.07145108753	0.16623084
14	0.6237533859	0.805022189	0.9551282051	0.03253630309	0.06292894098	0.1562257339
15	0.6200535391	0.8057032383	0.9618768328	0.03581176984	0.06905263158	0.1648398074
16	0.6162837188	0.8057032383	0.9315068493	0.03712195655	0.07139857203	0.1637764707
17	0.6124819761	0.8056592996	0.9383753501	0.03657604542	0.07040773434	0.1634806064
18	0.6089069808	0.8062305022	0.9402597403	0.0395239655	0.07585917854	0.1702573763
19	0.6054062188	0.8061426249	0.9564032698	0.03832296102	0.0736930506	0.1698269264
20	0.6018269015	0.8064062569	0.9553805774	0.03974232995	0.07631027254	0.1728282831
21	0.5984890366	0.8067577662	0.954887218	0.04159842778	0.07972379159	0.1767832802
22	0.5950554502	0.8066698888	0.9590792839	0.04094333443	0.07853403141	0.1759598409
23	0.5918857444	0.8066698888	0.9590792839	0.04094333443	0.07853403141	0.1759598409
24	0.5887717133	0.8068017048	0.9620253165	0.04148924555	0.07954783337	0.1775529676
25	0.5856526031	0.8071092755	0.9633251834	0.0430177967	0.08235785953	0.1810088456
26	0.5825908252	0.8071532141	0.9590361446	0.0434545256	0.08314184249	0.1813176264
27	0.5795892981	0.8072191221	0.9485981308	0.0443279834	0.08469802858	0.18162558
28	0.5767257257	0.8076585087	0.9570135747	0.04618408123	0.08811582127	0.1866794393
29	0.5739336241	0.8080539567	0.96069869	0.04804017906	0.09150462722	0.190988656
30	0.5711923834	0.8080978953	0.9608695652	0.04825854351	0.09190144506	0.1914525206
31	0.5685364793	0.8082956193	0.9616204691	0.04924118354	0.09368508517	0.193526772
32	0.5656691591	0.8080978953	0.9588744589	0.04836772573	0.09209021931	0.191368606
33	0.5629703415	0.8082516807	0.9594882729	0.04913200131	0.09347735771	0.1929841165
34	0.5604450155	0.808471374	0.9584199584	0.05033300579	0.09564315353	0.1951880532
35	0.5580421994	0.8089546992	0.9566074951	0.05295337919	0.1003517484	0.199972043
36	0.5554106034	0.8089107606	0.9564356436	0.05273501474	0.09995860927	0.1995273944
37	0.5529909303	0.8090645459	0.9642857143	0.05306256142	0.1005898789	0.2013994278
38	0.5507157298	0.8089327299	0.9638554217	0.05240746806	0.09940975458	0.2000708083
39	0.5485065058	0.8086471286	0.9686847599	0.05066055246	0.09628553642	0.1974179543
40	0.5463178385	0.8090865152	0.9625246548	0.05328092587	0.1009724809	0.2015384735
41	0.5439719397	0.8092403005	0.9630350195	0.05404520144	0.1023467383	0.2030768236
42	0.5419055571	0.8093281779	0.9633204633	0.05448193034	0.1031311357	0.2039509242
43	0.5398038561	0.8091524232	0.9645669291	0.05349929032	0.1013758146	0.202280556
44	0.5377467098	0.8091084846	0.9662698413	0.05317174364	0.100796854	0.2019231055
45	0.5357318719	0.8092403005	0.968503937	0.05371765477	0.1017895935	0.2033238263
46	0.5338196326	0.8093062085	0.9686888454	0.05404520144	0.1023784902	0.2039792495
47	0.5318341973	0.8094380245	0.9690522244	0.05470029479	0.1035551881	0.205284113
48	0.5299614366	0.8093281779	0.96875	0.05415438367	0.1025747079	0.2041972784
49	0.5280294626	0.8094599938	0.963740458	0.05513702369	0.1043065166	0.2052554369
50	0.5261184729	0.8094599938	0.9673076923	0.05491865924	0.1039363571	0.205417941
51	0.5243694864	0.8093281779	0.96692607	0.05426356589	0.1027602605	0.2041140559
52	0.5225372932	0.8093721165	0.9652509653	0.05459111257	0.1033378113	0.2044675571
53	0.5208850006	0.8095259018	0.9639468691	0.05546457037	0.104893661	0.2059047465
54	0.5191870177	0.8093940859	0.9635316699	0.05480947702	0.1037190083	0.2046041689
55	0.5174945851	0.8097016565	0.9662288931	0.05622884594	0.106273215	0.2077069596
56	0.5159692561	0.8098115031	0.9613970588	0.05710230374	0.1078017108	0.208539479
57	0.5142697744	0.8097895338	0.9630314233	0.05688393929	0.1074226804	0.2084038322
58	0.5125173702	0.8100311964	0.9620938628	0.058194126	0.1097498198	0.2106637982
59	0.5109493453	0.8098993805	0.9566787004	0.05786657932	0.109132091	0.2091645033
60	0.5094628442	0.8105584604	0.9589041096	0.06114204607	0.1149543262	0.2154576412
61	0.5081576449	0.8102508898	0.961130742	0.05939513047	0.1118766067	0.2126919846
62	0.5067122616	0.8103387671	0.9597902098	0.0599410416	0.1128352687	0.2134534166
63	0.5054021833	0.8105145217	0.9603448276	0.0608144994	0.1143854605	0.2151172106
64	0.503896889	0.8106243684	0.9638554217	0.06114204607	0.1149897331	0.2163006523
65	0.5025353648	0.8106902764	0.9624573379	0.06157877498	0.1157516675	0.216843219
66	0.5011392179	0.8108220924	0.9612794613	0.06234305055	0.1170921768	0.2179999611
67	0.4998056513	0.8109099697	0.9630872483	0.06267059723	0.1176832394	0.2188909075
68	0.4985435484	0.8109758777	0.9648241206	0.06288896168	0.1180811808	0.2195763425
69	0.4973572629	0.810931939	0.9647058824	0.06267059723	0.1176953045	0.2191694129
70	0.4961882294	0.8109539083	0.9647651007	0.06277977945	0.1178882624	0.2193729669
71	0.4949622039	0.8110417857	0.965	0.06321650835	0.1186596987	0.2201854044
72	0.4936614849	0.8112395096	0.9624796085	0.06441751283	0.1207531723	0.2218556559
73	0.4924456178	0.8114152643	0.96	0.06550933508	0.1226492232	0.2233168051
74	0.4911770222	0.811393295	0.9584664537	0.06550933508	0.1226366888	0.2230461736
75	0.4900545991	0.8114372336	0.9600638978	0.06561851731	0.1228410833	0.2235166973
76	0.488787123	0.8116349576	0.9620853081	0.06649197511	0.1243872549	0.2253792112
77	0.4877205901	0.8115470803	0.9603803487	0.06616442843	0.1237997957	0.2245136453
78	0.4866141715	0.8116349576	0.9635499208	0.06638279288	0.1242083759	0.2254510092
79	0.4854450437	0.8118107122	0.9625585023	0.06736543291	0.1259183673	0.226960213
80	0.4843804041	0.8117228349	0.9623233909	0.06692870401	0.1251531237	0.2261710122
81	0.4833010277	0.8118985896	0.9585253456	0.06812970848	0.1272171254	0.2275374257
82	0.4822203655	0.8118766202	0.9556574924	0.06823889071	0.1273820442	0.2272050536
83	0.4812502478	0.8121182829	0.9619482496	0.06900316628	0.1287693562	0.2296320938
84	0.4802181051	0.8120304056	0.9603053435	0.06867561961	0.1281842266	0.2287820441
85	0.4792868696	0.8120084362	0.9588414634	0.06867561961	0.1281711666	0.2285176307
86	0.4784130771	0.8122061602	0.9580209895	0.06976744186	0.1300630979	0.2302042745
87	0.4775529448	0.8122061602	0.9539375929	0.07009498854	0.1305939788	0.2300050832
88	0.4767036331	0.8124258535	0.9532846715	0.07129599301	0.1326696465	0.2318763335
89	0.4758590265	0.8124697922	0.9494949495	0.07184190414	0.1335769387	0.2320718872
90	0.4750054654	0.8126675161	0.9501424501	0.07282454416	0.1352803975	0.2337995753
91	0.4741381381	0.8126675161	0.9501424501	0.07282454416	0.1352803975	0.2337995753
92	0.4732983825	0.8128652401	0.9533239038	0.07358881974	0.1366308534	0.2356405799
93	0.4725696894	0.8128652401	0.9533239038	0.07358881974	0.1366308534	0.2356405799
94	0.4716770373	0.8130409948	0.9538461538	0.07446227754	0.1381405712	0.2371557337
95	0.4709278682	0.8131288721	0.9528432732	0.07500818867	0.1390688259	0.2378473068
96	0.470090861	0.8132387187	0.9519230769	0.07566328202	0.1401840801	0.2387251684
97	0.4693041533	0.8133925041	0.9523809524	0.07642755759	0.1414998989	0.2400352007
98	0.4685106754	0.8133485654	0.9510204082	0.07631837537	0.1412977562	0.2396004373
99	0.4677438186	0.8134144734	0.9512195122	0.07664592204	0.1418611701	0.2401607178
100	0.4669785165	0.8135682587	0.9504685408	0.07751937984	0.1433474662	0.2414030021
101	0.4662470461	0.813722044	0.9485488127	0.07850201987	0.1450035293	0.2425806481
102	0.465562992	0.8136121974	0.9494007989	0.07784692652	0.1438950555	0.2417143259
103	0.4647878676	0.813787952	0.9511228534	0.0786112021	0.1452198467	0.2432528356
104	0.464102222	0.813787952	0.9499341238	0.07872038432	0.1453922162	0.2431932882
105	0.4634526071	0.81385386	0.9477806789	0.07926629545	0.1462972292	0.2436285249
106	0.4626549174	0.813919768	0.9468223087	0.07970302435	0.1470292044	0.2441222346
107	0.4619412076	0.813985676	0.9481865285	0.0799213888	0.1474171785	0.2447301887
108	0.4612095262	0.814051584	0.9483870968	0.08024893547	0.1479766459	0.2452793021
109	0.4605750762	0.8140076453	0.9470967742	0.08013975325	0.1477753171	0.2448557179
110	0.4598736804	0.814051584	0.9449423816	0.08057648215	0.1484909457	0.2451081823
111	0.4591783287	0.814315216	0.9491740788	0.08155912217	0.1502111402	0.2474644724
112	0.4584697287	0.8144470319	0.9495586381	0.08221421553	0.1513263666	0.2485503893
113	0.457864081	0.8144690013	0.9496221662	0.08232339775	0.1515121069	0.2487309491
114	0.4572559447	0.8145788479	0.9488139825	0.0829784911	0.1526104418	0.2495747164
115	0.456720134	0.8144470319	0.9473023839	0.08243257998	0.1516673363	0.248436303
116	0.4561331672	0.8146667253	0.949068323	0.08341522	0.1533520674	0.2502934128
117	0.4554722994	0.8146447559	0.9445812808	0.08374276668	0.1538461538	0.2498905971
118	0.4549179978	0.8148205106	0.9473039216	0.08439786003	0.1549874687	0.2514340828
119	0.4543296855	0.8148424799	0.9473684211	0.08450704225	0.1551724138	0.2516126649
120	0.4537288491	0.8148424799	0.9495694957	0.0842886778	0.1548335339	0.2517251179
121	0.4531266903	0.8147985412	0.9461444308	0.08439786003	0.1549719326	0.2511999183
