iter	Passed	Remaining
0	222	1335632
1	248	745259
2	277	554521
3	302	453659
4	326	391891
5	354	354055
6	384	329195
7	433	324863
8	498	332046
9	526	315650
10	551	300131
11	577	288306
12	604	278307
13	635	271810
14	666	265922
15	696	260406
16	724	254931
17	751	249620
18	778	245037
19	804	240515
20	827	235709
21	852	231645
22	877	228015
23	901	224349
24	921	220355
25	947	217759
26	970	214643
27	996	212524
28	1022	210546
29	1045	208143
30	1068	205803
31	1090	203455
32	1115	201726
33	1142	200395
34	1165	198688
35	1192	197494
36	1217	196247
37	1347	211487
38	1588	242769
39	1757	261928
40	1785	259521
41	1814	257360
42	1845	255633
43	1874	253711
44	1936	256269
45	1993	257970
46	2061	261093
47	2089	259058
48	2118	257243
49	2144	255188
50	2169	253043
51	2195	251179
52	2226	249785
53	2253	248083
54	2280	246528
55	2310	245207
56	2339	243877
57	2362	242031
58	2387	240400
59	2412	238872
60	2438	237400
61	2463	235917
62	2489	234573
63	2514	233221
64	2542	232161
65	2569	231023
66	2592	229553
67	2616	228232
68	2644	227336
69	2669	226176
70	2694	225037
71	2718	223862
72	2748	223143
73	2874	230170
74	3247	256542
75	3280	255723
76	3308	254466
77	3333	253124
78	3362	252001
79	3396	251373
80	3430	250657
81	3476	250879
82	3527	251488
83	3557	250582
84	3586	249543
85	3613	248492
86	3642	247597
87	3669	246545
88	3702	245906
89	3727	244791
90	3759	244095
91	3784	243057
92	3815	242341
93	3841	241387
94	3865	240279
95	3892	239387
96	3917	238378
97	3944	237525
98	3967	236508
99	3993	235610
100	4019	234772
101	4048	234116
102	4074	233246
103	4103	232619
104	4131	231937
105	4158	231228
106	4185	230532
107	4217	230099
108	4247	229541
109	4317	231208
110	4573	242657
111	4800	252387
112	4826	251460
113	4855	250693
114	4880	249774
115	4909	249050
116	4941	248450
117	4980	248269
118	5073	250716
119	5106	250223
120	5136	249547
121	5166	248909
122	5192	248122
123	5221	247438
124	5248	246697
125	5277	246042
126	5309	245522
127	5339	244942
128	5369	244353
129	5397	243728
130	5420	242857
131	5447	242158
132	5473	241450
133	5500	240805
134	5529	240221
135	5559	239704
136	5588	239174
137	5618	238667
138	5643	237943
139	5671	237396
140	5698	236803
141	5720	235995
142	5746	235353
143	5768	234601
144	5788	233731
145	5855	234783
146	6103	243009
147	6331	250366
148	6357	249657
149	6385	249040
150	6413	248430
151	6440	247790
152	6473	247380
153	6528	247820
154	6597	248806
155	6626	248251
156	6653	247613
157	6681	247049
158	6711	246557
159	6739	245994
160	6770	245530
161	6799	245018
162	6828	244543
163	6856	243975
164	6886	243537
165	6912	242944
166	6938	242336
167	6961	241668
168	6985	241004
169	7015	240580
170	7042	240063
171	7065	239414
172	7090	238836
173	7121	238450
174	7145	237841
175	7169	237235
176	7197	236796
177	7221	236210
178	7247	235688
179	7275	235225
180	7304	234844
181	7350	234982
182	7597	241498
183	7854	248255
184	7885	247857
185	7912	247338
186	7942	246912
187	7969	246384
188	8002	246060
189	8035	245717
190	8108	246613
191	8161	246872
192	8188	246390
193	8219	245982
194	8248	245537
195	8277	245118
196	8307	244706
197	8334	244216
198	8363	243791
199	8393	243415
200	8423	243036
201	8446	242445
202	8471	241918
203	8495	241365
204	8516	240740
205	8541	240235
206	8565	239704
207	8589	239189
208	8614	238682
209	8640	238227
210	8666	237772
211	8689	237248
212	8711	236689
213	8736	236205
214	8764	235836
215	8788	235335
216	8815	234934
217	8838	234419
